2017-07-21 21:07:51 [-][-][-][warning][application] -- Starting import from Active Directory --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Found 229 users --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user Invitado --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ebarrios --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user jfranco --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user dzapata --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user lmontiel --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user GDCONFER --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  GDCONFER created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user imarquez --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  imarquez created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ligonzalez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user getback --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user eramirez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user tdoumet --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ypatino --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user farriojas --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ychirinos --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user xin.mgtaca --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user xin.tolon --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user arojas --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user pmarcano --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user dbastidas --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.hatillo --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vvismara --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.liderdamas --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.lidercaballeros --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user oguevara --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user aishopccct --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user afigueroa --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user aislido --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user xin.ccct --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user elopez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user recepcionpb01 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vgazcon --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ICG18 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user icg19 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ICG20 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user mcaldeira --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user rcelis --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user amoncada --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user krbtgt --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user SUPPORT_388945a0 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user IWAM_GDPROFIT --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user recepcionpb02 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user zortega --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user xin.samccs --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user yizquiel --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user mvelasquez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user recepcion02 --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user Recepcion --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user saghandour --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ytorres --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user areitich --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.ccct --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.samccs --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.tolon --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.mgtaca --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user vst.millenium --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user khernandez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user xin.lider --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user mjimenez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ylopez --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  ylopez created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user operez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user apaiva --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user abonaldy --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  abonaldy created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user pcasique --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ghernandez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user svasquez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user gpabon --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user avielma --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user jmurillo --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  jmurillo created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ediaz --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ysubieta --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user mvillanueva --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user calvarez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user sramirez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user lgarcia --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user emesa --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user gsorrentino --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user jKiss --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user kchacon --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user eblanco --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ehernandez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ndsantos --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ygarcia --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user eperalta --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user abatatina --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user juzcategui --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user addiaz --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user cmartinez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user fsilva --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  fsilva created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ymelo --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user aissagd --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user agarcia --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user aiscab --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user aalvarado --
2017-07-21 21:07:52 [-][-][-][warning][application] Rol asignado a  aalvarado created
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user lrequena --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user capacitacion --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ybriceño --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ngoncalves --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user kgonzalez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user sgomez --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ralves --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user varevalo --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user cguzman --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user yrivas --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user rserpa --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user esanabria --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user dleal --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user ablanco --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user lrojas --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user hmoreno --
2017-07-21 21:07:52 [-][-][-][warning][application] -- Working on user kortuno --
